id,originalValue,adoptedValue,disposition,action,applicableSystems,modelOrComponent,unit,scope,direction,precision,density,conditions,source,auditDate,sourceAsOf,conclusion
"sys.gb300-nvl72:keySpecs.gpuCount","72","72","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","张","NVIDIA GB300 NVL72 / gpuCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/overview.html"",""localFile"":null,""locator"":""Overview，「72 NVIDIA Blackwell Ultra GPUs」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.cpuCount","36","36","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","颗","NVIDIA GB300 NVL72 / cpuCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/overview.html"",""localFile"":null,""locator"":""Overview，「36 NVIDIA® Grace CPUs」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.computeTrayCount","18","18","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","个","NVIDIA GB300 NVL72 / computeTrayCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/overview.html"",""localFile"":null,""locator"":""Overview，「18 compute trays connected via the fifth generation of NVLink」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.nvswitchTrayCount","9","9","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","个","NVIDIA GB300 NVL72 / nvswitchTrayCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html"",""localFile"":null,""locator"":""System Hardware & Components，「9 NVSwitch trays for full non-blocking P2P connectivity of all 72 Blackwell Ultra GPUs」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.rackPowerKW","142","142","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","kW","NVIDIA GB300 NVL72 / rackPowerKW；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","官方口径为「最高（up to）142 kW」，不是典型工况功率；用于 tokens/W 估算时须在 caveat 中声明。","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html"",""localFile"":null,""locator"":""System Hardware & Components，「Full rack requiring up to 142 kW」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.nvlinkAggregateBandwidthTBs","130","130","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","TB/s","NVIDIA GB300 NVL72 / nvlinkAggregateBandwidthTBs；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html"",""localFile"":null,""locator"":""System Hardware & Components，「a total aggregated bandwidth of 130 TB/s」（产品页规格表同值）""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.gpuMemoryTotalTB","20","20","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","TB","NVIDIA GB300 NVL72 / gpuMemoryTotalTB；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 GPU Memory | Bandwidth，「20 TB」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.gpuMemoryBandwidthTBs","576","576","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","TB/s","NVIDIA GB300 NVL72 / gpuMemoryBandwidthTBs；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 GPU Memory | Bandwidth，「Up to 576 TB/s」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.cpuMemoryTB","17","17","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","TB","NVIDIA GB300 NVL72 / cpuMemoryTB；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 CPU Memory | Bandwidth，「17 TB LPDDR5X」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.fastMemoryTB","37","37","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","TB","NVIDIA GB300 NVL72 / fastMemoryTB；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 Fast Memory，「37 TB」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.fp4DensePflops","1080","1080","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","PFLOPS","NVIDIA GB300 NVL72 / fp4DensePflops；适用范围见限定条件与来源位置","not specified / not applicable","FP4","dense","1440 为含稀疏口径，1080 为稠密口径。产能估算只用稠密值。","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 FP4 Tensor Core，「1440 | 1080」+ 脚注 2「Without sparsity」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.fp8SparsePflops","720","720","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","PFLOPS","NVIDIA GB300 NVL72 / fp8SparsePflops；适用范围见限定条件与来源位置","not specified / not applicable","FP8","dense","该值含稀疏；稠密口径为 360 PFLOPS。","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 FP8/FP6 Tensor Core，「720 PFLOPS」+ 脚注 1「All Tensor Core specifications are with sparsity unless otherwise noted」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.cpuCoreCount","2592","2592","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","核","NVIDIA GB300 NVL72 / cpuCoreCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-gb300-page"",""url"":""https://www.nvidia.com/en-us/data-center/gb300-nvl72/"",""localFile"":null,""locator"":""产品页规格表 CPU Core Count，「2,592 Arm Neoverse V2 cores」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.gb300-nvl72:keySpecs.maxScalableUnits","8","8","reviewed","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","个 SU","NVIDIA GB300 NVL72 / maxScalableUnits；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","一个 SU = 一个 NVL72 机架。8 SU 是官方完整验证过的规模上限，不是物理上限。","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/overview.html"",""localFile"":null,""locator"":""Overview，「A fully tested system scales up to 8 SUs (Scalable Units)」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
